timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684310062467,8,Login-1,200,OK,Thread Group 1-21,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=fZjaUs9iycJ1ZUcKVQc_z-gvGV00kRAKnU8ukvYq.ppss-vb,8,0,0
1684310062528,3,Reptiles,200,OK,Thread Group 1-4,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1684310062549,7,Login,200,OK,Thread Group 1-22,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=BIG72R1lOvIgeKCA8lNzS_oB2mEBPq-wGwwe6lii.ppss-vb,4,0,1
1684310062549,4,Login-0,302,Found,Thread Group 1-22,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,4,0,1
1684310062554,2,Login-1,200,OK,Thread Group 1-22,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=BIG72R1lOvIgeKCA8lNzS_oB2mEBPq-wGwwe6lii.ppss-vb,2,0,0
1684310062625,3,Reptiles,200,OK,Thread Group 1-5,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1684310062632,10,Login,200,OK,Thread Group 1-23,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=SFqE7dfhiaQkIbD6K6TJXRhoBZwuJ0PEPxFWoSPH.ppss-vb,5,0,1
1684310062632,5,Login-0,302,Found,Thread Group 1-23,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,5,0,1
1684310062638,4,Login-1,200,OK,Thread Group 1-23,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=SFqE7dfhiaQkIbD6K6TJXRhoBZwuJ0PEPxFWoSPH.ppss-vb,4,0,0
1684310062689,8,Login,200,OK,Thread Group 1-25,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=LmGOFwPUCllw-GvnjRfOryAtnwryRIhp9h4k-HIO.ppss-vb,5,0,1
1684310062689,5,Login-0,302,Found,Thread Group 1-25,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,5,0,1
1684310062694,3,Login-1,200,OK,Thread Group 1-25,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=LmGOFwPUCllw-GvnjRfOryAtnwryRIhp9h4k-HIO.ppss-vb,3,0,0
1684310062706,4,Reptiles,200,OK,Thread Group 1-6,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,4,0,0
1684310062708,12,Login,200,OK,Thread Group 1-24,text,true,,5412,1706,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=IhRYyY8LIIG2DRM53U4vkCZ6ISINlQp_4-cyYSFH.ppss-vb,4,0,0
1684310062708,4,Login-0,302,Found,Thread Group 1-24,,true,,343,916,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action,4,0,0
1684310062712,8,Login-1,200,OK,Thread Group 1-24,text,true,,5069,790,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action;jsessionid=IhRYyY8LIIG2DRM53U4vkCZ6ISINlQp_4-cyYSFH.ppss-vb,7,0,0
1684310062813,3,Reptiles,200,OK,Thread Group 1-8,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1684310062855,3,Reptiles,200,OK,Thread Group 1-7,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1684310062976,3,Reptiles,200,OK,Thread Group 1-9,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1684310063083,4,Reptiles,200,OK,Thread Group 1-11,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,4,0,0
1684310063115,5,Reptiles,200,OK,Thread Group 1-10,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,5,0,0
1684310063237,4,Reptiles,200,OK,Thread Group 1-12,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,4,0,0
1684310063403,3,Reptiles,200,OK,Thread Group 1-13,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1684310063402,8,Reptiles,200,OK,Thread Group 1-14,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,8,0,0
1684310063429,3,Reptiles,200,OK,Thread Group 1-15,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1684310063551,4,Reptiles,200,OK,Thread Group 1-16,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,4,0,0
1684310063565,3,Reptiles,200,OK,Thread Group 1-17,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1684310063783,4,Reptiles,200,OK,Thread Group 1-19,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,4,0,0
1684310063790,13,Sign Out,200,OK,Thread Group 1-1,text,true,,5255,1285,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action,4,0,0
1684310063790,4,Sign Out-0,302,Found,Thread Group 1-1,,true,,333,647,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1684310063794,9,Sign Out-1,200,OK,Thread Group 1-1,text,true,,4922,638,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action,9,0,0
1684310063805,7,Reptiles,200,OK,Thread Group 1-18,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,7,0,0
1684310063966,3,Reptiles,200,OK,Thread Group 1-20,text,true,,3506,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1684310064039,12,Sign Out,200,OK,Thread Group 1-3,text,true,,5255,1285,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action,3,0,0
1684310064039,3,Sign Out-0,302,Found,Thread Group 1-3,,true,,333,647,25,25,http://127.0.0.1:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1684310064042,9,Sign Out-1,200,OK,Thread Group 1-3,text,true,,4922,638,25,25,http://127.0.0.1:8080/jpetstore/actions/Catalog.action,9,0,0
